Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.12229893760358544+0j),[0.2304987],[1.],[0.44687503],[1.],[0.12976431],[0.12287918],[0.12212133],[0.12105935],[0.12017155],[0.11845326],[0.11594687],[0.11367392],[0.11047685],[0.10638504],[0.10258347]
(0.1284869532634549+0j),[0.23202327],[1.],[0.47432447],[1.],[0.12963386],[0.12212136],[0.12105937],[0.12017158],[0.11845329],[0.1159469],[0.11367395],[0.11047687],[0.10638506],[0.10258349],[0.10385857]
(0.13496277104665869+0j),[0.23291552],[1.],[0.49952972],[1.],[0.13160893],[0.12105941],[0.12017161],[0.11845333],[0.11594693],[0.11367398],[0.1104769],[0.10638509],[0.10258351],[0.10385859],[0.10979479]
(0.14162077366439244+0j),[0.23316659],[1.],[0.52260909],[1.],[0.1331578],[0.12017165],[0.11845336],[0.11594696],[0.11367402],[0.11047694],[0.10638512],[0.10258354],[0.10385862],[0.10979482],[0.11523793]
(0.14988138811378035+0j),[0.23282669],[1.],[0.54746616],[1.],[0.13498221],[0.11845341],[0.11594701],[0.11367406],[0.11047699],[0.10638517],[0.10258359],[0.10385867],[0.10979487],[0.11523798],[0.12064606]
(0.15817029912694053+0j),[0.23172589],[1.],[0.56993296],[1.],[0.13607282],[0.11594707],[0.11367411],[0.11047704],[0.10638522],[0.10258364],[0.10385871],[0.10979491],[0.11523802],[0.1206461],[0.12598001]
(0.16638580081339005+0j),[0.22978135],[1.],[0.59022264],[1.],[0.13627453],[0.11367419],[0.1104771],[0.10638528],[0.1025837],[0.10385877],[0.10979496],[0.11523807],[0.12064615],[0.12598007],[0.13079863]
(0.17315729470809635+0j),[0.22716483],[1.],[0.60576045],[1.],[0.13646617],[0.11047722],[0.10638538],[0.10258378],[0.10385885],[0.10979504],[0.11523814],[0.12064623],[0.12598016],[0.13079873],[0.13483222]
(0.1797108736829862+0j),[0.22380395],[1.],[0.61986629],[1.],[0.13552435],[0.10638554],[0.10258391],[0.10385895],[0.10979514],[0.11523825],[0.12064634],[0.12598028],[0.13079887],[0.13483239],[0.13817244]
(0.18601845706306108+0j),[0.21962306],[1.],[0.63275093],[1.],[0.13369113],[0.1025841],[0.1038591],[0.10979527],[0.11523837],[0.12064648],[0.12598043],[0.13079905],[0.13483259],[0.13817266],[0.14121345]
(0.18912108125213678+0j),[0.21483976],[1.],[0.63901431],[1.],[0.13184378],[0.1038593],[0.10979543],[0.11523853],[0.12064664],[0.12598061],[0.13079925],[0.13483282],[0.1381729],[0.14121371],[0.14336419]
(0.1919342783255468+0j),[0.21046039],[1.],[0.64451553],[1.],[0.13467611],[0.10979564],[0.1152387],[0.12064682],[0.1259808],[0.13079945],[0.13483303],[0.13817314],[0.14121396],[0.14336445],[0.14468926]
(0.19438350868194035+0j),[0.20724081],[1.],[0.64886685],[1.],[0.14190834],[0.11523891],[0.120647],[0.12598098],[0.13079965],[0.13483324],[0.13817335],[0.14121419],[0.14336469],[0.14468951],[0.14579882]
(0.19114334561097432+0j),[0.20514671],[1.],[0.64240895],[1.],[0.14775198],[0.1206472],[0.12598115],[0.13079981],[0.13483341],[0.13817354],[0.14121439],[0.14336491],[0.14468974],[0.14579906],[0.14555523]
(0.1879042355468603+0j),[0.20424816],[1.],[0.63609936],[1.],[0.1527319],[0.12598132],[0.13079996],[0.13483356],[0.1381737],[0.14121455],[0.14336509],[0.14468994],[0.14579927],[0.14555544],[0.14411618]
