Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.01831791073684095+0j),[0.11911774],[1.],[0.22017569],[1.],[0.04743136],[0.04636197],[0.04684221],[0.04750006],[0.04815587],[0.04857155],[0.04877841],[0.04904669],[0.04923512],[0.04934549],[0.04953346]
(0.01796233466574271+0j),[0.11785194],[1.],[0.2189403],[1.],[0.04797769],[0.04684221],[0.04750006],[0.04815587],[0.04857155],[0.04877841],[0.04904669],[0.04923512],[0.04934549],[0.04953346],[0.04950692]
(0.017677663960278287+0j),[0.11693834],[1.],[0.2180469],[1.],[0.04855074],[0.04750006],[0.04815587],[0.04857155],[0.04877841],[0.04904669],[0.04923512],[0.04934549],[0.04953346],[0.04950692],[0.04926696]
(0.017453625822654025+0j),[0.1163718],[1.],[0.21742179],[1.],[0.04926752],[0.04815587],[0.04857155],[0.04877841],[0.04904669],[0.04923512],[0.04934549],[0.04953346],[0.04950692],[0.04926696],[0.04909581]
(0.01805701275381845+0j),[0.11610156],[1.],[0.22379889],[1.],[0.05032922],[0.04857155],[0.04877841],[0.04904669],[0.04923512],[0.04934549],[0.04953346],[0.04950692],[0.04926696],[0.04909581],[0.04974467]
(0.018682320928317682+0j),[0.11603223],[1.],[0.22998662],[1.],[0.05148637],[0.04877841],[0.04904669],[0.04923512],[0.04934549],[0.04953346],[0.04950692],[0.04926696],[0.04909581],[0.04974467],[0.05116128]
(0.01932143344198056+0j),[0.11609075],[1.],[0.2359769],[1.],[0.05238078],[0.04904669],[0.04923512],[0.04934549],[0.04953346],[0.04950692],[0.04926696],[0.04909581],[0.04974467],[0.05116128],[0.05253427]
(0.018554262311588465+0j),[0.11627868],[1.],[0.23024636],[1.],[0.05263986],[0.04923512],[0.04934549],[0.04953346],[0.04950692],[0.04926696],[0.04909581],[0.04974467],[0.05116128],[0.05253427],[0.05256322]
(0.01785917549639055+0j),[0.11657318],[1.],[0.22490383],[1.],[0.05215698],[0.04934549],[0.04953346],[0.04950692],[0.04926696],[0.04909581],[0.04974467],[0.05116128],[0.05253427],[0.05256322],[0.05131483]
(0.01722763527080051+0j),[0.11694138],[1.],[0.21991863],[1.],[0.05162044],[0.04953346],[0.04950692],[0.04926696],[0.04909581],[0.04974467],[0.05116129],[0.05253428],[0.05256322],[0.05131483],[0.05015048]
(0.016448108978663358+0j),[0.11738534],[1.],[0.21340885],[1.],[0.05108119],[0.04950692],[0.04926696],[0.04909581],[0.04974467],[0.05116129],[0.05253428],[0.05256322],[0.05131483],[0.05015048],[0.04885456]
(0.015738149324485307+0j),[0.11785167],[1.],[0.20729678],[1.],[0.05025424],[0.04926696],[0.04909581],[0.04974467],[0.05116129],[0.05253428],[0.05256322],[0.05131483],[0.05015048],[0.04885456],[0.04743155]
(0.015089638498722637+0j),[0.11828835],[1.],[0.20157082],[1.],[0.04925878],[0.04909581],[0.04974467],[0.05116129],[0.05253428],[0.05256322],[0.05131483],[0.05015048],[0.04885456],[0.04743155],[0.04609691]
(0.01470091558204278+0j),[0.11869845],[1.],[0.19821188],[1.],[0.04849273],[0.04974467],[0.05116129],[0.05253428],[0.05256322],[0.05131483],[0.05015048],[0.04885456],[0.04743155],[0.04609691],[0.04507264]
(0.014341768122140473+0j),[0.11923066],[1.],[0.19497312],[1.],[0.04867766],[0.05116129],[0.05253428],[0.05256322],[0.05131483],[0.05015048],[0.04885456],[0.04743155],[0.04609691],[0.04507264],[0.04432881]
