Es,Sx,Sxx,Sy,Syy,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0010935139456217896+0j),[0.02569522],[1.],[0.06087411],[1.],"(array([0.01520866]), array([0.01961687]))","(array([0.01342724]), array([0.00505094]))","(array([0.01337744]), array([0.00520539]))","(array([0.01338208]), array([0.00536886]))","(array([0.01354084]), array([0.00553804]))","(array([0.01368924]), array([0.00570874]))"
(0.0011280534084500324+0j),[0.02642069],[1.],[0.06168848],[1.],"(array([0.01524778]), array([0.01995579]))","(array([0.01337744]), array([0.00520539]))","(array([0.01338208]), array([0.00536886]))","(array([0.01354084]), array([0.00553804]))","(array([0.01368924]), array([0.00570874]))","(array([0.01381825]), array([0.00587579]))"
(0.0011520610398910757+0j),[0.02708359],[1.],[0.06217374],[1.],"(array([0.01513568]), array([0.0203154]))","(array([0.01338208]), array([0.00536886]))","(array([0.01354084]), array([0.00553804]))","(array([0.01368924]), array([0.00570874]))","(array([0.01381825]), array([0.00587579]))","(array([0.01396477]), array([0.00603232]))"
(0.001160280347663846+0j),[0.02769646],[1.],[0.06216567],[1.],"(array([0.01504265]), array([0.02059738]))","(array([0.01354084]), array([0.00553804]))","(array([0.01368924]), array([0.00570874]))","(array([0.01381825]), array([0.00587579]))","(array([0.01396477]), array([0.00603232]))","(array([0.01401857]), array([0.00617616]))"
(0.0011791870263798965+0j),[0.02829056],[1.],[0.0625023],[1.],"(array([0.01510209]), array([0.02086668]))","(array([0.01368924]), array([0.00570874]))","(array([0.01381825]), array([0.00587579]))","(array([0.01396477]), array([0.00603232]))","(array([0.01401857]), array([0.00617616]))","(array([0.01405562]), array([0.00631224]))"
(0.0011762743032405125+0j),[0.02886469],[1.],[0.06214415],[1.],"(array([0.01513521]), array([0.02110114]))","(array([0.01381825]), array([0.00587579]))","(array([0.01396477]), array([0.00603232]))","(array([0.01401857]), array([0.00617616]))","(array([0.01405562]), array([0.00631224]))","(array([0.01405319]), array([0.00644395]))"
(0.001167141080421857+0j),[0.02941661],[1.],[0.0615882],[1.],"(array([0.01510275]), array([0.02124241]))","(array([0.01396477]), array([0.00603232]))","(array([0.01401857]), array([0.00617616]))","(array([0.01405562]), array([0.00631224]))","(array([0.01405319]), array([0.00644395]))","(array([0.01395013]), array([0.0065709]))"
(0.001170181761224905+0j),[0.0299519],[1.],[0.06142728],[1.],"(array([0.0151027]), array([0.02139023]))","(array([0.01401857]), array([0.00617616]))","(array([0.01405562]), array([0.00631224]))","(array([0.01405319]), array([0.00644395]))","(array([0.01395013]), array([0.0065709]))","(array([0.01386931]), array([0.00669348]))"
(0.0011939990606081796+0j),[0.03045502],[1.],[0.06195007],[1.],"(array([0.01507551]), array([0.02162794]))","(array([0.01405562]), array([0.00631224]))","(array([0.01405319]), array([0.00644395]))","(array([0.01395013]), array([0.0065709]))","(array([0.01386931]), array([0.00669348]))","(array([0.01391011]), array([0.00681056]))"
(0.0012357807182273603+0j),[0.03092516],[1.],[0.06305155],[1.],"(array([0.01510909]), array([0.02197748]))","(array([0.01405319]), array([0.00644395]))","(array([0.01395013]), array([0.0065709]))","(array([0.01386931]), array([0.00669348]))","(array([0.01391011]), array([0.00681056]))","(array([0.01409324]), array([0.00692029]))"
(0.0012834616844392794+0j),[0.03135685],[1.],[0.06433227],[1.],"(array([0.0151529]), array([0.02239263]))","(array([0.01395013]), array([0.0065709]))","(array([0.01386931]), array([0.00669348]))","(array([0.01391011]), array([0.00681056]))","(array([0.01409324]), array([0.00692029]))","(array([0.01436182]), array([0.00702196]))"
(0.0013252986580426192+0j),[0.03173335],[1.],[0.06543355],[1.],"(array([0.0151052]), array([0.02279772]))","(array([0.01386931]), array([0.00669348]))","(array([0.01391011]), array([0.00681056]))","(array([0.01409324]), array([0.00692029]))","(array([0.01436182]), array([0.00702196]))","(array([0.01463037]), array([0.00711308]))"
(0.0013270637755828415+0j),[0.0320622],[1.],[0.06532506],[1.],"(array([0.01501148]), array([0.02305699]))","(array([0.01391011]), array([0.00681056]))","(array([0.01409324]), array([0.00692029]))","(array([0.01436182]), array([0.00702196]))","(array([0.01463037]), array([0.00711308]))","(array([0.0147423]), array([0.0071926]))"
(0.0012965067784720947+0j),[0.03236973],[1.],[0.06422961],[1.],"(array([0.01492227]), array([0.02309238]))","(array([0.01409324]), array([0.00692029]))","(array([0.01436182]), array([0.00702196]))","(array([0.01463037]), array([0.00711308]))","(array([0.0147423]), array([0.0071926]))","(array([0.01460656]), array([0.00726435]))"
(0.0012777163418582664+0j),[0.03268496],[1.],[0.06348091],[1.],"(array([0.01494064]), array([0.02305716]))","(array([0.01436182]), array([0.00702196]))","(array([0.01463037]), array([0.00711308]))","(array([0.0147423]), array([0.0071926]))","(array([0.01460656]), array([0.00726435]))","(array([0.01439864]), array([0.00733456]))"
(0.001290144374346692+0j),[0.03302461],[1.],[0.06369436],[1.],"(array([0.0151151]), array([0.02314349]))","(array([0.01463037]), array([0.00711308]))","(array([0.0147423]), array([0.0071926]))","(array([0.01460656]), array([0.00726435]))","(array([0.01439864]), array([0.00733456]))","(array([0.0143383]), array([0.0074084]))"
(0.0012418243021360548+0j),[0.03338868],[1.],[0.06196708],[1.],"(array([0.01522961]), array([0.02312647]))","(array([0.0147423]), array([0.0071926]))","(array([0.01460656]), array([0.00726435]))","(array([0.01439864]), array([0.00733456]))","(array([0.0143383]), array([0.0074084]))","(array([0.01416762]), array([0.00748774]))"
(0.0011715870418408454+0j),[0.03374754],[1.],[0.05946057],[1.],"(array([0.01503228]), array([0.02283336]))","(array([0.01460656]), array([0.00726435]))","(array([0.01439864]), array([0.00733456]))","(array([0.0143383]), array([0.0074084]))","(array([0.01416762]), array([0.00748774]))","(array([0.01369028]), array([0.00756924]))"
(0.0011279640986834474+0j),[0.03405505],[1.],[0.05779869],[1.],"(array([0.01459649]), array([0.02253567]))","(array([0.01439864]), array([0.00733456]))","(array([0.0143383]), array([0.0074084]))","(array([0.01416762]), array([0.00748774]))","(array([0.01369028]), array([0.00756924]))","(array([0.01322032]), array([0.00764437]))"
(0.0011041699714533857+0j),[0.03430008],[1.],[0.05682493],[1.],"(array([0.01418605]), array([0.02237969]))","(array([0.0143383]), array([0.0074084]))","(array([0.01416762]), array([0.00748774]))","(array([0.01369028]), array([0.00756924]))","(array([0.01322032]), array([0.00764437]))","(array([0.01292317]), array([0.00770667]))"
(0.0011077834520688736+0j),[0.03451338],[1.],[0.05682351],[1.],"(array([0.01402598]), array([0.02238415]))","(array([0.01416762]), array([0.00748774]))","(array([0.01369028]), array([0.00756924]))","(array([0.01322032]), array([0.00764437]))","(array([0.01292317]), array([0.00770667]))","(array([0.01281322]), array([0.00775835]))"
(0.0011141177118829675+0j),[0.0346748],[1.],[0.05694818],[1.],"(array([0.01382566]), array([0.02249665]))","(array([0.01369028]), array([0.00756924]))","(array([0.01322032]), array([0.00764437]))","(array([0.01292317]), array([0.00770667]))","(array([0.01281322]), array([0.00775835]))","(array([0.01282712]), array([0.0078006]))"
(0.0011292120938503748+0j),[0.0347282],[1.],[0.05744282],[1.],"(array([0.01336227]), array([0.02265073]))","(array([0.01322032]), array([0.00764437]))","(array([0.01292317]), array([0.00770667]))","(array([0.01281322]), array([0.00775835]))","(array([0.01282712]), array([0.0078006]))","(array([0.01289694]), array([0.00782482]))"
(0.0011538104322289053+0j),[0.03468102],[1.],[0.05831926],[1.],"(array([0.01296899]), array([0.02286009]))","(array([0.01292317]), array([0.00770667]))","(array([0.01281322]), array([0.00775835]))","(array([0.01282712]), array([0.0078006]))","(array([0.01289694]), array([0.00782482]))","(array([0.01305153]), array([0.00782552]))"
(0.0011711310722155618+0j),[0.03457262],[1.],[0.05897248],[1.],"(array([0.01277325]), array([0.02306297]))","(array([0.01281322]), array([0.00775835]))","(array([0.01282712]), array([0.0078006]))","(array([0.01289694]), array([0.00782482]))","(array([0.01305153]), array([0.00782552]))","(array([0.01322399]), array([0.00780797]))"
(0.0011920436093354235+0j),[0.0344429],[1.],[0.05975055],[1.],"(array([0.01276725]), array([0.02324097]))","(array([0.01282712]), array([0.0078006]))","(array([0.01289694]), array([0.00782482]))","(array([0.01305153]), array([0.00782552]))","(array([0.01322399]), array([0.00780797]))","(array([0.01338536]), array([0.00778113]))"
(0.0011898062730335858+0j),[0.03431761],[1.],[0.05974765],[1.],"(array([0.01284974]), array([0.02334453]))","(array([0.01289694]), array([0.00782482]))","(array([0.01305153]), array([0.00782552]))","(array([0.01322399]), array([0.00780797]))","(array([0.01338536]), array([0.00778113]))","(array([0.01347275]), array([0.00775238]))"
(0.0011962188420973365+0j),[0.0342092],[1.],[0.06002308],[1.],"(array([0.01295774]), array([0.02338218]))","(array([0.01305153]), array([0.00782552]))","(array([0.01322399]), array([0.00780797]))","(array([0.01338536]), array([0.00778113]))","(array([0.01347275]), array([0.00775238]))","(array([0.01350347]), array([0.00772603]))"
(0.001215334696941958+0j),[0.0341355],[1.],[0.06069635],[1.],"(array([0.01318359]), array([0.02346525]))","(array([0.01322399]), array([0.00780797]))","(array([0.01338536]), array([0.00778113]))","(array([0.01347275]), array([0.00775238]))","(array([0.01350347]), array([0.00772603]))","(array([0.01361044]), array([0.0077055]))"
(0.0012421672668088619+0j),[0.03410018],[1.],[0.06159108],[1.],"(array([0.01345508]), array([0.02359466]))","(array([0.01338536]), array([0.00778113]))","(array([0.01347275]), array([0.00775238]))","(array([0.01350347]), array([0.00772603]))","(array([0.01361044]), array([0.0077055]))","(array([0.01378722]), array([0.00769321]))"
(0.0012678129287702446+0j),[0.0341002],[1.],[0.06241551],[1.],"(array([0.01371681]), array([0.02373368]))","(array([0.01347275]), array([0.00775238]))","(array([0.01350347]), array([0.00772603]))","(array([0.01361044]), array([0.0077055]))","(array([0.01378722]), array([0.00769321]))","(array([0.01398105]), array([0.00768923]))"
(0.0012888357756583228+0j),[0.03411993],[1.],[0.06307231],[1.],"(array([0.01388578]), array([0.02385067]))","(array([0.01350347]), array([0.00772603]))","(array([0.01361044]), array([0.0077055]))","(array([0.01378722]), array([0.00769321]))","(array([0.01398105]), array([0.00768923]))","(array([0.01414805]), array([0.00769145]))"
(0.0013146370515967631+0j),[0.03414734],[1.],[0.06386748],[1.],"(array([0.01399375]), array([0.02396875]))","(array([0.01361044]), array([0.0077055]))","(array([0.01378722]), array([0.00769321]))","(array([0.01398105]), array([0.00768923]))","(array([0.01414805]), array([0.00769145]))","(array([0.01431175]), array([0.00769677]))"
