Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.0749459307549873+0j),[6.14982004e-16],[1.],[-0.51410764],[1.],[-0.22378203],[-0.10239431],[-0.09856815],[-0.09473696],[-0.09804026],[-0.10782227],[-0.11693673],[-0.1251843],[-0.12552358],[-0.12118103],[-0.11813757]
(0.07230098866691621+0j),[2.58756306e-15],[1.],[-0.50503406],[1.],[-0.21742096],[-0.09867712],[-0.09483357],[-0.09812814],[-0.1079012],[-0.11700549],[-0.12524465],[-0.12557117],[-0.12122159],[-0.11816865],[-0.11490583]
(0.07114928838273923+0j),[3.75081054e-15],[1.],[-0.50101745],[1.],[-0.21221689],[-0.09493437],[-0.09822121],[-0.10798469],[-0.11708062],[-0.1253113],[-0.1256262],[-0.12126589],[-0.11820698],[-0.11493431],[-0.11343034]
(0.06486787930220028+0j),[3.48326037e-15],[1.],[-0.47899875],[1.],[-0.20552047],[-0.09830584],[-0.10806424],[-0.11715218],[-0.12537533],[-0.12568217],[-0.12131124],[-0.11824392],[-0.11496642],[-0.11345434],[-0.11049487]
(0.05776957030652631+0j),[3.50427011e-15],[1.],[-0.45279349],[1.],[-0.20343089],[-0.10812762],[-0.11721181],[-0.12542904],[-0.12572911],[-0.12135178],[-0.11827868],[-0.11499244],[-0.11347744],[-0.11051285],[-0.10505729]
(0.05003560851282287+0j),[2.76092625e-15],[1.],[-0.42227692],[1.],[-0.20685699],[-0.11727316],[-0.12548696],[-0.12578143],[-0.121397],[-0.11831779],[-0.11502741],[-0.11350475],[-0.11053628],[-0.10507777],[-0.09866504]
(0.05806187268969102+0j),[1.78171662e-15],[1.],[-0.45589847],[1.],[-0.21638261],[-0.12556412],[-0.12585257],[-0.12146141],[-0.11837582],[-0.11507889],[-0.11354991],[-0.1105757],[-0.10511175],[-0.09869409],[-0.09903052]
(0.06019794622325933+0j),[3.45412437e-15],[1.],[-0.46475103],[1.],[-0.2294785],[-0.12595212],[-0.12155298],[-0.11846],[-0.11515555],[-0.1136195],[-0.11063846],[-0.10516737],[-0.09874247],[-0.09907173],[-0.10380894]
(0.0586646084533315+0j),[9.49649589e-16],[1.],[-0.45956751],[1.],[-0.2303245],[-0.12168783],[-0.11858472],[-0.11527085],[-0.11372659],[-0.11073613],[-0.10525545],[-0.09882095],[-0.09914092],[-0.10386737],[-0.1042272]
(0.06636715596748696+0j),[-8.15926728e-17],[1.],[-0.48836029],[1.],[-0.22874696],[-0.11872785],[-0.11540415],[-0.1138505],[-0.11085031],[-0.10535932],[-0.09891412],[-0.09922342],[-0.1039392],[-0.10428728],[-0.10690557]
(0.06384886470639152+0j),[1.37242972e-16],[1.],[-0.4794004],[1.],[-0.22798708],[-0.11553331],[-0.11396904],[-0.11096286],[-0.10546032],[-0.09900392],[-0.09930558],[-0.10401052],[-0.10434739],[-0.10695662],[-0.109121]
(0.06547793464119295+0j),[9.01295644e-16],[1.],[-0.48534721],[1.],[-0.22443996],[-0.11408777],[-0.1110716],[-0.10556028],[-0.09909465],[-0.09938779],[-0.10408295],[-0.10441012],[-0.10700857],[-0.10916378],[-0.10878085]
(0.06836617615861915+0j),[2.85433566e-16],[1.],[-0.49543121],[1.],[-0.22478957],[-0.11117793],[-0.1056575],[-0.09918172],[-0.09946953],[-0.10415491],[-0.10447302],[-0.1070628],[-0.10920747],[-0.1088173],[-0.11058627]
(0.07060157793928842+0j),[-1.45988719e-15],[1.],[-0.50286986],[1.],[-0.22384405],[-0.10575452],[-0.09926921],[-0.0995523],[-0.1042294],[-0.10453824],[-0.10712094],[-0.10925556],[-0.10885634],[-0.11061981],[-0.11255911]
(0.07386535280103922+0j),[-7.71742206e-16],[1.],[-0.51344198],[1.],[-0.22043608],[-0.09935324],[-0.09963163],[-0.10430204],[-0.10460252],[-0.10717812],[-0.1093052],[-0.10889652],[-0.11065405],[-0.11258551],[-0.11459002]
(0.08256761434268381+0j),[-1.4714094e-15],[1.],[-0.54056366],[1.],[-0.21828625],[-0.09970824],[-0.10437437],[-0.10466822],[-0.10723521],[-0.10935442],[-0.10893997],[-0.11068824],[-0.11261244],[-0.11461428],[-0.11884963]
(0.09169993432884002+0j),[-2.33053617e-15],[1.],[-0.56658725],[1.],[-0.22463255],[-0.10445229],[-0.1047388],[-0.10729827],[-0.10940895],[-0.10898581],[-0.11072759],[-0.11264226],[-0.11463826],[-0.11887076],[-0.12483989]
(0.09838560231527968+0j),[-2.45749551e-15],[1.],[-0.58381265],[1.],[-0.23425876],[-0.104828],[-0.10738044],[-0.10948049],[-0.10904711],[-0.11078032],[-0.11268806],[-0.11467137],[-0.11889989],[-0.12486311],[-0.12970918]
(0.09282564777145469+0j),[-1.64266345e-15],[1.],[-0.56673456],[1.],[-0.23466392],[-0.1074916],[-0.10958394],[-0.10913536],[-0.11085686],[-0.11275764],[-0.11473152],[-0.11894351],[-0.12490466],[-0.12973853],[-0.12971645]
(0.10458256630422057+0j),[-2.58473597e-15],[1.],[-0.59765435],[1.],[-0.23891224],[-0.10969146],[-0.10923356],[-0.11094498],[-0.11283318],[-0.11479785],[-0.11900379],[-0.12494956],[-0.12978003],[-0.1297468],[-0.13130466]
